HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Ecological Footprint (g ha),HPI,"Biocapacity for year 
(g ha)",GDP per capita ($),
125,Lithuania,LTU,2019LTU,7,2759.6,75.9,6.06,6.42,36.9,1.56,37181,
143,Luxembourg,LUX,2019LUX,3,615.7,82.3,7.4,12.59,31.7,1.56,114304,
80,Madagascar,MDG,2019MDG,5,26969.3,67,4.34,0.87,44.2,1.56,1647,
117,Malawi,MWI,2019MWI,5,18628.7,64.3,3.87,0.89,38.7,1.56,1060,
95,Malaysia,MYS,2019MYS,8,31949.8,76.2,5.43,4.07,41.7,1.56,28364,
114,Mali,MLI,2019MLI,5,19658,59.3,4.99,1.41,39.3,1.56,2322,
85,Malta,MLT,2019MLT,3,440.4,82.5,6.73,6.5,43.5,1.56,43585,
132,Mauritania,MRT,2019MRT,5,4525.7,64.9,4.15,2.24,34.7,1.56,5197,
32,Mauritius,MUS,2019MUS,5,1269.7,75,6.24,2.85,51.5,1.56,22870,
23,Mexico,MEX,2019MEX,1,127575.5,75,6.43,2.58,54.3,1.56,19766,
37,Moldova,MDA,2019MDA,7,4043.3,71.9,5.8,2.04,51,1.56,13022,
151,Mongolia,MNG,2019MNG,8,3225.2,69.9,5.56,10.08,24.5,1.56,12317,
101,Montenegro,MNE,2019MNE,7,628,76.9,5.39,4.22,41.3,1.56,21603,
39,Morocco,MAR,2019MAR,4,36471.8,76.7,5.06,1.82,50.9,1.56,7515,
79,Mozambique,MOZ,2019MOZ,5,30366,60.9,4.93,0.72,44.2,1.56,1281,
107,Myanmar,MMR,2019MMR,8,54045.4,67.1,4.43,1.75,40,1.56,5142,
126,Namibia,NAM,2019NAM,5,2494.5,63.7,4.44,1.94,36.8,1.56,9637,
27,Nepal,NPL,2019NPL,6,28608.7,70.8,5.45,1.2,53.1,1.56,3417,
18,Netherlands,NLD,2019NLD,3,17097.1,82.3,7.43,4.59,54.9,1.56,56810,
11,New Zealand,NZL,2019NZL,2,4783.1,82.3,7.21,3.87,57.4,1.56,43148,
16,Nicaragua,NIC,2019NIC,1,6545.5,74.5,6.11,2.04,55.2,1.56,5407,
100,Niger,NER,2019NER,5,23310.7,62.4,5,1.51,41.4,1.56,1225,
137,Nigeria,NGA,2019NGA,5,200963.6,54.7,4.36,0.99,34.1,1.56,5135,
82,North Macedonia,MKD,2019MKD,7,2083.5,75.8,5.02,2.95,43.9,1.56,16660,
38,Norway,NOR,2019NOR,3,5378.9,82.4,7.44,5.51,50.9,1.56,64962,
73,Pakistan,PAK,2019PAK,6,216565.3,67.3,4.44,0.87,45.1,1.56,4690,
42,"Palestine, State of",PSE,2019PSE,4,4981.4,74,4.48,0.94,50.3,1.56,6220,
6,Panama,PAN,2019PAN,1,4246.4,78.5,6.09,2.1,57.9,1.56,31459,
55,Paraguay,PRY,2019PRY,1,7044.6,74.3,5.65,2.8,47.6,1.56,12685,
15,Peru,PER,2019PER,1,32510.5,76.7,6,2.09,55.9,1.56,12848,
12,Philippines,PHL,2019PHL,8,108116.6,71.2,6.27,1.5,57.1,1.56,8908,
74,Poland,POL,2019POL,7,37887.8,78.7,6.24,4.77,45,1.56,33226,
63,Portugal,PRT,2019PRT,3,10226.2,82,6.1,4.78,46.3,1.56,34905,
152,Qatar,QAT,2019QAT,4,2832.1,80.2,6.37,15.04,24.3,1.56,90044,
64,Romania,ROU,2019ROU,7,19364.6,76,6.13,3.93,46.2,1.56,29969,
131,Russia,RUS,2019RUS,7,145872.3,72.6,5.44,5.46,34.9,1.56,27044,
115,Rwanda,RWA,2019RWA,5,12626.9,69,3.27,0.61,39.2,1.56,2227,
97,Saudi Arabia,SAU,2019SAU,4,34268.5,75.1,6.56,5.52,41.6,1.56,46962,
34,Senegal,SEN,2019SEN,5,16296.4,67.9,5.49,1.15,51.2,1.56,3395,
26,Serbia,SRB,2019SRB,7,8772.2,76,6.24,2.69,53.2,1.56,18351,
147,Sierra Leone,SLE,2019SLE,5,7813.2,54.7,3.45,0.97,29,1.56,1718,
68,Singapore,SGP,2019SGP,8,5804.3,83.6,6.38,5.6,45.5,1.56,97341,
61,Slovakia,SVK,2019SVK,7,5457,77.5,6.24,4.22,46.6,1.56,31965,
53,Slovenia,SVN,2019SVN,7,2078.7,81.3,6.67,5.05,47.9,1.56,39030,
129,South Africa,ZAF,2019ZAF,5,58558.3,64.1,5.03,2.97,36.2,1.56,12482,
110,South Korea,KOR,2019KOR,8,51225.3,83,5.9,6.45,39.8,1.56,42879,
30,Spain,ESP,2019ESP,3,46736.8,83.6,6.46,4.14,52.3,1.56,40936,
60,Sri Lanka,LKA,2019LKA,6,21323.7,77,4.21,1.5,46.8,1.56,13078,
112,Sudan,SDN,2019SDN,5,42813.2,65.3,4.24,1.34,39.6,1.56,3958,
41,Sweden,SWE,2019SWE,3,10036.4,82.8,7.4,5.61,50.5,1.56,52642,
4,Switzerland,CHE,2019CHE,3,8591.4,83.8,7.69,4.14,60.1,1.56,68391,
87,Taiwan,TWN,2019TWN,8,23773.9,80.5,6.54,5.97,43.2,1.56,#N/D,
17,Tajikistan,TJK,2019TJK,7,9321,71.1,5.46,0.96,55.2,1.56,3380,
124,Tanzania,TZA,2019TZA,5,58005.5,65.5,3.64,1.09,37,1.56,2660,
28,Thailand,THA,2019THA,8,69625.6,77.2,6.02,2.66,52.9,1.56,18460,
123,Togo,TGO,2019TGO,5,8082.4,61,4.18,1.09,37.3,1.56,1597,
144,Trinidad and Tobago,TTO,2019TTO,1,1395,73.5,6.19,8.24,31.6,1.56,26176,
81,Tunisia,TUN,2019TUN,4,11694.7,76.7,4.32,2.12,43.9,1.56,10756,
102,Turkey,TUR,2019TUR,4,83429.6,77.7,4.87,3.61,41.3,1.56,28289,
141,Turkmenistan,TKM,2019TKM,7,5942.1,68.2,5.47,5.36,33,1.56,..,
76,Uganda,UGA,2019UGA,5,44269.6,63.4,4.95,0.99,44.8,1.56,2187,
103,Ukraine,UKR,2019UKR,7,43993.6,72.1,4.7,2.64,40.9,1.56,12810,
135,United Arab Emirates,ARE,2019ARE,4,9770.5,78,6.71,8.94,34.3,1.56,67119,
14,United Kingdom,GBR,2019GBR,3,67530.2,81.3,7.16,3.95,56,1.56,46703,
122,United States of America,USA,2019USA,2,329064.9,78.9,6.94,8.21,37.4,1.56,62530,
10,Uruguay,URY,2019URY,1,3461.7,77.9,6.6,2.62,57.5,1.56,21561,
24,Uzbekistan,UZB,2019UZB,7,32981.7,71.7,6.15,1.88,54.1,1.56,6999,
2,Vanuatu,VUT,2019VUT,8,299.9,70.5,6.96,1.62,60.4,1.56,3153,
46,Venezuela,VEN,2019VEN,1,28515.8,72.1,5.08,1.59,48.9,1.56,..,
48,Vietnam,VNM,2019VNM,8,96462.1,75.4,5.47,2.56,48.4,1.56,8041,
77,Yemen,YEM,2019YEM,4,29161.9,66.1,4.2,0.52,44.6,1.56,..,
134,Zambia,ZMB,2019ZMB,5,17861,63.9,3.31,0.93,34.4,1.56,3470,
148,Zimbabwe,ZWE,2019ZWE,5,14645.5,61.5,2.69,0.98,28.6,1.56,2836,
